#number of robots
5
#rooms
##start
A 0 0
B 1 2
C 3 1
D 5 3
E 2 4
F 4 5
G 6 2
H 7 4
##end
I 8 1
#tunnels
A-B
B-C
C-D
D-E
E-F
F-G
G-H
H-I
#moves
P1-B
P2-B P1-C
P3-B P2-C P1-D
P4-B P3-C P2-D P1-E
P5-B P4-C P3-D P2-E P1-F
P5-C P4-D P3-E P2-F P1-G
P5-D P4-E P3-F P2-G P1-H
P5-E P4-F P3-G P2-H P1-I
P5-F P4-G P3-H P2-I P1-A
P5-G P4-H P3-I P2-A P1-B
P5-H P4-I P3-A P2-B P1-C
P5-I P4-A P3-B P2-C P1-D
P5-A P4-B P3-C P2-D P1-E
P5-B P4-C P3-D P2-E P1-F
P5-C P4-D P3-E P2-F P1-G
P5-D P4-E P3-F P2-G P1-H
P5-E P4-F P3-G P2-H P1-I
P5-F P4-G P3-H P2-I P1-A
P5-G P4-H P3-I P2-A P1-B
P5-H P4-I P3-A P2-B P1-C
P5-I P4-A P3-B P2-C P1-D
P5-A P4-B P3-C P2-D P1-E
P5-B P4-C P3-D P2-E P1-F
P5-C P4-D P3-E P2-F P1-G
P5-D P4-E P3-F P2-G P1-H
P5-E P4-F P3-G P2-H P1-I
P5-F P4-G P3-H P2-I P1-A
P5-G P4-H P3-I P2-A P1-B
P5-H P4-I P3-A P2-B P1-C
P5-I P4-A P3-B P2-C P1-D
P5-A P4-B P3-C P2-D P1-E
P5-B P4-C P3-D P2-E P1-F
P5-C P4-D P3-E P2-F P1-G
P5-D P4-E P3-F P2-G P1-H
P5-E P4-F P3-G P2-H P1-I
P5-F P4-G P3-H P2-I P1-A
P5-G P4-H P3-I P2-A P1-B
P5-H P4-I P3-A P2-B P1-C
P5-I P4-A P3-B P2-C P1-D
P5-A P4-B P3-C P2-D P1-E
P5-B P4-C P3-D P2-E P1-F
P5-C P4-D P3-E P2-F P1-G
P5-D P4-E P3-F P2-G P1-H
P5-E P4-F P3-G P2-H P1-I
P5-F P4-G P3-H P2-I P1-A
P5-G P4-H P3-I P2-A P1-B
P5-H P4-I P3-A P2-B P1-C
P5-I P4-A P3-B P2-C P1-D
P5-A P4-B P3-C P2-D P1-E
P5-B P4-C P3-D P2-E P1-F
P5-C P4-D P3-E P2-F P1-G
P5-D P4-E P3-F P2-G P1-H
P5-E P4-F P3-G P2-H P1-I
P5-F P4-G P3-H P2-I P1-A
P5-G P4-H P3-I P2-A P1-B
P5-H P4-I P3-A P2-B P1-C
P5-I P4-A P3-B P2-C P1-D
P5-A P4-B P3-C P2-D P1-E
P5-B P4-C P3-D P2-E P1-F
P5-C P4-D P3-E P2-F P1-G
P5-D P4-E P3-F P2-G P1-H
P5-E P4-F P3-G P2-H P1-I
P5-F P4-G P3-H P2-I
P5-G P4-H P3-I
P5-H P4-I
P5-I
